Text,Timestamp
"Störningar i tågtrafikenSenast ändrad idag kl 18:58HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under kvällen.Orsaken är ett signalfel.För information om specifika avgångar,sök din resa.HELSINGBORG - ÅSTORP - HÄSSLEHOLMÅSTORP - KÄVLINGEDet är stopp i tågtrafiken genom Åstorp. Inga tåg kan i nuläget köra på sträckan. Vi återkommer när mer information finns tillgänglig.Orsaken är ett signalfel.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-16 17:06:18.817963
"Störningar i tågtrafikenSenast ändrad idag kl 19:32HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under kvällen.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.HELSINGBORG - ÅSTORP - HÄSSLEHOLMÅSTORP - KÄVLINGEDet är stopp i tågtrafiken genom Åstorp. Inga tåg kan i nuläget köra på sträckan. Vi återkommer när mer information finns tillgänglig.Orsaken är ett signalfel.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-16 18:08:46.276029
"Störningar i tågtrafikenSenast ändrad idag kl 20:18HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under kvällen.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.HELSINGBORG - ÅSTORP - HÄSSLEHOLMÅSTORP - KÄVLINGEVi kör igen efter stopp i tågtrafiken genom Åstorp. Räkna med förseningar och inställda tåg ett tag framöver.Orsaken var ett signalfel.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-16 19:05:13.778942
"Störningar i tågtrafikenSenast ändrad idag kl 20:18HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under kvällen.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.HELSINGBORG - ÅSTORP - HÄSSLEHOLMÅSTORP - KÄVLINGEVi kör igen efter stopp i tågtrafiken genom Åstorp. Räkna med förseningar och inställda tåg ett tag framöver.Orsaken var ett signalfel.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-16 20:07:45.145932
"Störningar i tågtrafikenSenast ändrad idag kl 22:51HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under sen kväll/natt.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter i mycket begränsad omfattning tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-16 21:06:24.784762
"Störningar i tågtrafikenSenast ändrad idag kl 22:51HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under sen kväll/natt.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter i mycket begränsad omfattning tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-16 22:06:27.283106
"Störningar i tågtrafikenSenast ändrad idag kl 22:51HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under sen kväll/natt.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter i mycket begränsad omfattning tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-16 23:07:11.092275
"Störningar i tågtrafikenSenast ändrad igår kl 22:51HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under sen kväll/natt.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter i mycket begränsad omfattning tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-17 00:40:19.207079
"Störningar i tågtrafikenSenast ändrad igår kl 22:51HELSINGBORG - KÄVLINGE - LUNDDet är stopp i tågtrafiken mellan Kävlinge och Lund. Inga tåg kan i nuläget köra på sträckan. Vissa tåg är inställda och andra omleds på annan bana. Prognos för när vi kan köra igen är under sen kväll/natt.Orsaken är ett signalfel.ALTERNATIVA RESVÄGARBussar ersätter i mycket begränsad omfattning tåg och kör i pendeltrafik på nedanstående sträckor.Lund – Malmö (via Pågatågens mellanstationer)Lund – Kävlinge (via Pågatågens mellanstationer)För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-17 02:04:48.077408
No warning,2023-06-17 03:08:09.040936
No warning,2023-06-17 04:08:15.943215
No warning,2023-06-17 05:06:55.835840
No warning,2023-06-17 06:08:56.830703
No warning,2023-06-17 07:06:17.276908
No warning,2023-06-17 08:08:48.061328
No warning,2023-06-17 09:06:50.820611
No warning,2023-06-17 10:07:03.836010
No warning,2023-06-17 11:06:35.634809
No warning,2023-06-17 12:12:01.131320
No warning,2023-06-17 13:07:42.264712
No warning,2023-06-17 14:05:56.191281
No warning,2023-06-17 15:06:31.368795
No warning,2023-06-17 16:08:05.520429
No warning,2023-06-17 17:06:05.646103
No warning,2023-06-17 18:08:04.035008
No warning,2023-06-17 19:05:03.820671
No warning,2023-06-17 20:07:10.483219
No warning,2023-06-17 21:05:42.818816
No warning,2023-06-17 22:06:37.656515
No warning,2023-06-17 23:06:41.744787
No warning,2023-06-18 00:48:30.391864
No warning,2023-06-18 02:22:49.378100
No warning,2023-06-18 03:12:42.601588
No warning,2023-06-18 04:08:15.132678
No warning,2023-06-18 05:07:04.392438
No warning,2023-06-18 06:09:05.665964
No warning,2023-06-18 07:06:37.342337
No warning,2023-06-18 08:08:46.642925
No warning,2023-06-18 09:07:04.428639
No warning,2023-06-18 10:07:07.357130
No warning,2023-06-18 11:05:24.817108
No warning,2023-06-18 12:12:46.827279
No warning,2023-06-18 13:08:04.649728
No warning,2023-06-18 14:06:29.620674
No warning,2023-06-18 15:06:32.368514
No warning,2023-06-18 16:08:07.226230
No warning,2023-06-18 17:05:57.700262
No warning,2023-06-18 18:08:21.269121
No warning,2023-06-18 19:05:14.357723
No warning,2023-06-18 20:07:32.629949
No warning,2023-06-18 21:05:56.340714
No warning,2023-06-18 22:06:21.780020
No warning,2023-06-18 23:07:11.758840
No warning,2023-06-19 00:42:41.476293
No warning,2023-06-19 02:10:32.882512
"Störningar i tågtrafikenSenast ändrad idag kl 05:03HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Hässleholm och Växjö/Kalmar. Inga tåg kan i nuläget köra på sträckan. Vi återkommer när mer information finns tillgänglig.Orsaken är ett underhållsarbete som inte blir färdigt i tid.För information om specifika avgångar,sök din resa.Visa merVisa mindre",2023-06-19 03:09:09.580049
"Störningar i tågtrafikenSenast ändrad idag kl 05:34HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Hässleholm och Växjö/Kalmar. Inga tåg kan i nuläget köra på sträckan. Vi återkommer när mer information finns tillgänglig.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.ALTERNATIVA RESVÄGARVi återkommer med information om eventuell ersättningstrafik.Visa merVisa mindre",2023-06-19 04:08:54.479392
"Störningar i tågtrafikenSenast ändrad idag kl 06:59HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Hässleholm och Växjö/Kalmar. Inga tåg kan i nuläget köra på sträckan. Vi återkommer när mer information finns tillgänglig.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.ALTERNATIVA RESVÄGARErsättningsbussar beställs för inställda avgångar. Mycket svårt att få fram ersättningsbussar. För information om specifika avgångar,sök din resa.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 05:07:22.129613
No warning,2023-06-19 06:11:25.975218
